Track ID,Label,Action,Speed (km/h),Class,Date,Time
22,car ID: 22,IN,9,car,2025-03-11,15:07:24
5,car ID: 5,IN,20,car,2025-03-11,15:07:25
22,car ID: 22,IN,14,car,2025-03-11,15:07:33
2,car ID: 2,OUT,17,car,2025-03-11,15:07:33
5,car ID: 5,IN,16,car,2025-03-11,15:07:33
29,car ID: 29,OUT,29,car,2025-03-11,15:07:36
9,bus ID: 9,IN,43,bus,2025-03-11,15:07:36
32,car ID: 32,OUT,32,car,2025-03-11,15:07:36
7,car ID: 7,IN,18,car,2025-03-11,15:07:40
93,car ID: 93,OUT,33,car,2025-03-11,15:07:42
91,car ID: 91,OUT,25,car,2025-03-11,15:07:42
60,car ID: 60,IN,28,car,2025-03-11,15:07:45
99,car ID: 99,OUT,14,car,2025-03-11,15:07:46
124,car ID: 124,IN,31,car,2025-03-11,15:07:54
79,car ID: 79,IN,11,car,2025-03-11,15:07:55
174,truck ID: 174,OUT,34,truck,2025-03-11,15:07:56
179,car ID: 179,OUT,26,car,2025-03-11,15:07:57
122,car ID: 122,IN,36,car,2025-03-11,15:07:58
126,car ID: 126,IN,19,car,2025-03-11,15:07:59
176,car ID: 176,IN,16,car,2025-03-11,15:08:03
210,car ID: 210,OUT,35,car,2025-03-11,15:08:05
211,car ID: 211,OUT,22,car,2025-03-11,15:08:06
215,car ID: 215,OUT,26,car,2025-03-11,15:08:06
188,car ID: 188,IN,17,car,2025-03-11,15:08:06
214,car ID: 214,IN,27,car,2025-03-11,15:08:08
196,car ID: 196,IN,16,car,2025-03-11,15:08:09
221,car ID: 221,OUT,25,car,2025-03-11,15:08:11
220,car ID: 220,IN,25,car,2025-03-11,15:08:13
217,car ID: 217,IN,14,car,2025-03-11,15:08:16
219,car ID: 219,IN,15,car,2025-03-11,15:08:16
254,car ID: 254,OUT,26,car,2025-03-11,15:08:17
259,car ID: 259,OUT,28,car,2025-03-11,15:08:18
278,motorcycle ID: 278,IN,34,motorcycle,2025-03-11,15:08:19
270,car ID: 270,OUT,32,car,2025-03-11,15:08:21
292,car ID: 292,OUT,27,car,2025-03-11,15:08:25
265,car ID: 265,IN,8,car,2025-03-11,15:08:30
291,car ID: 291,IN,16,car,2025-03-11,15:08:31
309,car ID: 309,OUT,27,car,2025-03-11,15:08:31
316,truck ID: 316,OUT,29,truck,2025-03-11,15:08:33
22,car ID: 22,IN,20,car,2025-03-11,15:08:50
5,car ID: 5,IN,8,car,2025-03-11,15:08:50
22,car ID: 22,IN,20,car,2025-03-11,15:09:16
5,car ID: 5,IN,11,car,2025-03-11,15:09:17
9,bus ID: 9,IN,27,bus,2025-03-11,15:09:20
2,car ID: 2,OUT,15,car,2025-03-11,15:09:20
29,car ID: 29,OUT,13,car,2025-03-11,15:09:21
32,car ID: 32,OUT,9,car,2025-03-11,15:09:24
7,car ID: 7,IN,8,car,2025-03-11,15:09:24
93,car ID: 93,OUT,22,car,2025-03-11,15:09:27
60,car ID: 60,IN,25,car,2025-03-11,15:09:28
91,car ID: 91,OUT,13,car,2025-03-11,15:09:29
99,car ID: 99,OUT,9,car,2025-03-11,15:09:33
124,car ID: 124,IN,22,car,2025-03-11,15:09:36
79,car ID: 79,IN,11,car,2025-03-11,15:09:37
122,car ID: 122,IN,16,car,2025-03-11,15:09:41
126,car ID: 126,IN,9,car,2025-03-11,15:09:42
174,truck ID: 174,OUT,28,truck,2025-03-11,15:09:42
179,car ID: 179,OUT,13,car,2025-03-11,15:09:42
176,car ID: 176,IN,12,car,2025-03-11,15:09:46
117,person ID: 117,OUT,5,person,2025-03-11,15:09:48
188,car ID: 188,IN,16,car,2025-03-11,15:09:49
210,car ID: 210,OUT,13,car,2025-03-11,15:09:51
214,car ID: 214,IN,13,car,2025-03-11,15:09:51
215,car ID: 215,OUT,16,car,2025-03-11,15:09:51
211,car ID: 211,OUT,11,car,2025-03-11,15:09:52
196,car ID: 196,IN,14,car,2025-03-11,15:09:53
220,car ID: 220,IN,23,car,2025-03-11,15:09:55
221,car ID: 221,OUT,9,car,2025-03-11,15:09:57
219,car ID: 219,IN,15,car,2025-03-11,15:09:59
217,car ID: 217,IN,15,car,2025-03-11,15:09:59
254,car ID: 254,OUT,21,car,2025-03-11,15:10:00
259,car ID: 259,OUT,14,car,2025-03-11,15:10:02
270,car ID: 270,OUT,13,car,2025-03-11,15:10:05
292,car ID: 292,OUT,10,car,2025-03-11,15:10:10
265,car ID: 265,IN,15,car,2025-03-11,15:10:12
291,car ID: 291,IN,19,car,2025-03-11,15:10:12
309,car ID: 309,OUT,20,car,2025-03-11,15:10:14
316,truck ID: 316,OUT,9,truck,2025-03-11,15:10:16
368,motorcycle ID: 368,IN,5,motorcycle,2025-03-11,15:10:19
369,car ID: 369,IN,20,car,2025-03-11,15:10:22
325,car ID: 325,IN,10,car,2025-03-11,15:10:23
333,car ID: 333,IN,15,car,2025-03-11,15:10:24
372,car ID: 372,OUT,12,car,2025-03-11,15:10:24
353,car ID: 353,IN,5,car,2025-03-11,15:10:28
397,car ID: 397,IN,12,car,2025-03-11,15:10:32
411,bus ID: 411,OUT,11,bus,2025-03-11,15:10:36
