Track ID,Label,Action,Speed (km/h),Class,Date,Time
32,car ID: 32,OUT,0,car,2025-03-12,14:23:22
91,car ID: 91,OUT,0,car,2025-03-12,14:23:28
25,car ID: 25,OUT,0,car,2025-03-12,14:25:43
60,car ID: 60,OUT,0,car,2025-03-12,14:25:49
156,car ID: 156,OUT,0,car,2025-03-12,14:26:06
193,bus ID: 193,OUT,0,bus,2025-03-12,14:26:16
227,car ID: 227,OUT,0,car,2025-03-12,14:26:20
311,car ID: 311,OUT,0,car,2025-03-12,14:26:33
326,car ID: 326,OUT,0,car,2025-03-12,14:26:36
337,car ID: 337,OUT,0,car,2025-03-12,14:26:40
359,car ID: 359,OUT,0,car,2025-03-12,14:26:43
372,car ID: 372,OUT,0,car,2025-03-12,14:26:45
393,car ID: 393,OUT,0,car,2025-03-12,14:26:50
413,car ID: 413,OUT,0,car,2025-03-12,14:26:57
455,car ID: 455,OUT,0,car,2025-03-12,14:27:06
506,car ID: 506,OUT,0,car,2025-03-12,14:27:16
508,car ID: 508,OUT,0,car,2025-03-12,14:27:16
531,car ID: 531,OUT,0,car,2025-03-12,14:27:21
615,car ID: 615,OUT,0,car,2025-03-12,14:27:31
656,car ID: 656,OUT,0,car,2025-03-12,14:27:38
679,car ID: 679,OUT,0,car,2025-03-12,14:27:45
809,car ID: 809,OUT,0,car,2025-03-12,14:27:57
842,car ID: 842,OUT,0,car,2025-03-12,14:28:00
906,car ID: 906,OUT,0,car,2025-03-12,14:28:10
945,car ID: 945,OUT,0,car,2025-03-12,14:28:15
975,car ID: 975,OUT,0,car,2025-03-12,14:28:19
990,car ID: 990,OUT,0,car,2025-03-12,14:28:20
1003,car ID: 1003,OUT,0,car,2025-03-12,14:28:22
1074,car ID: 1074,OUT,0,car,2025-03-12,14:28:31
1085,car ID: 1085,OUT,0,car,2025-03-12,14:28:32
1147,car ID: 1147,OUT,0,car,2025-03-12,14:28:38
1161,car ID: 1161,OUT,0,car,2025-03-12,14:28:40
1181,car ID: 1181,OUT,0,car,2025-03-12,14:28:45
1205,car ID: 1205,OUT,0,car,2025-03-12,14:28:52
1214,car ID: 1214,OUT,0,car,2025-03-12,14:28:53
1219,car ID: 1219,OUT,0,car,2025-03-12,14:28:54
1252,car ID: 1252,OUT,0,car,2025-03-12,14:28:56
1259,car ID: 1259,OUT,0,car,2025-03-12,14:28:57
1279,car ID: 1279,OUT,0,car,2025-03-12,14:28:59
1319,car ID: 1319,OUT,0,car,2025-03-12,14:29:05
1333,car ID: 1333,OUT,0,car,2025-03-12,14:29:07
1442,car ID: 1442,OUT,0,car,2025-03-12,14:29:21
1470,car ID: 1470,OUT,0,car,2025-03-12,14:29:25
